NO,NAME,IP,GENDER,DESCRIPTION,DATE,COMMENT
1,沐沚漓,河北,f,𝑰 𝒅̶𝒐̶𝒏̶'̶𝒕̶ 𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒂̶𝒏̶𝒚̶𝒎̶𝒐̶𝒓̶𝒆̶,Wed Aug 02 00:30:11,25岁的蔡徐坤生日快乐！“单枪匹马独领天下，注定把历史写下”，新的一岁也要带着自己的热爱继续前行，享受属于自己的舞台，在舞台上发光发热。希望你永远开心，一直幸福，平安顺遂，我会永远爱你！
2,沐沚漓,河北,f,𝑰 𝒅̶𝒐̶𝒏̶'̶𝒕̶ 𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒂̶𝒏̶𝒚̶𝒎̶𝒐̶𝒓̶𝒆̶,Wed Aug 02 00:30:16,@蔡徐坤
3,Nice2cu-K,内蒙古,f,KUN＆IKUN,Wed Aug 02 00:31:24,谢谢你住进我的青春 未来我们也继续陪伴彼此[心]生日快乐
4,吧唧802口蔡徐坤,内蒙古,f,未曾谋面的终将会相遇@蔡徐坤,Wed Aug 02 00:31:26,陪你的第六年，生日快乐🎂我们一直在一直爱你！❤️@蔡徐坤
5,困困天使·,广东,f,关你屁事,Wed Aug 02 00:31:23,@蔡徐坤 一直在 一直爱[心][心][心]
6,池鱼厶-S,江西,f,2023.6.3蔡徐坤《迷》巡回演唱会澳门场，2023.6.25蔡徐坤《迷》巡回演唱会曼谷场到场歌迷。,Wed Aug 02 00:31:21,生日快乐
7,坤家的崽仔,江西,f,,Wed Aug 02 00:31:33,蔡徐坤生日快乐啊
8,上线也不会来找你,河北,f,接蔡徐坤出神🧱爆曲 读书去了不上线,Wed Aug 02 00:31:47,㊗️KUN25岁生日快乐！🎂不止生日，每天都要开心“打不倒的都会使我们更强大”一直都在，happy birthday🎉🎉🎉@蔡徐坤
9,铃铛响叮,河南,f,🐈,Wed Aug 02 00:31:32,生日快乐！！！！
10,八玥海葵,广东,f,𝑰 𝒅̶𝒐̶𝒏̶'̶𝒕̶ 𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒂̶𝒏̶𝒚̶𝒎̶𝒐̶𝒓̶𝒆̶,Wed Aug 02 00:31:59,祝蔡徐坤生日快乐，天天开心，顺顺利利的[鲜花]
11,猫价临奏,四川,f,夢的終點是花開滿城,Wed Aug 02 00:31:57,陪伴是我最长情的告白 又是一年0802 生日快乐我的KUN🎂🥳 @蔡徐坤
12,每天都在wait你喂我吃黄桃干,广西,f,别把蔡徐坤当成满足自己虚荣心的工具,Wed Aug 02 00:31:40,生日快乐哥[蛋糕]希望我们一直开心[抱一抱][抱一抱]
13,你听见我说啥了,广东,f,受不了一点,Wed Aug 02 00:31:43,我们爱你蔡徐坤
14,·蔡蔡困了·,广西,f,我要陪你到最后,Wed Aug 02 00:33:26,精心挑选一支花，翻山越岭也要送给你🌹生日快乐🌹
