NO,NAME,ID,DATE,COMMENT
1,困宝亲一口,4930085377803620,Wed Aug 02 00:30:13 +0800 2023,生日快乐哥哥 天天开心 @蔡徐坤
2,蔡徐坤的歌超好听,4930085909436878,Wed Aug 02 00:32:20 +0800 2023,做自己想做的事情 在舞台上闪闪发光 我们都远不止于此 生日快乐宝宝！@蔡徐坤
3,蛋卷真的很想睡觉,4930086148773358,Wed Aug 02 00:33:17 +0800 2023,㊗️原创音乐制作人蔡徐坤25岁生日快乐🎂🎊又一年我们一起过生日。一直在，一直听你唱。 Only for KUN.在你不出现的这段时间里，我们都要好好生活，天天开心🥳。记得吃蛋糕哦。 KUN&IKUN is forever.@蔡徐坤 [哈哈]
4,困宝亲一口,4930085397729674,Wed Aug 02 00:30:18 +0800 2023,@蔡徐坤
5,Mu-Keiyuo,4930086091096226,Wed Aug 02 00:33:02 +0800 2023,生日快乐
6,八玥海葵,4930086048629500,Wed Aug 02 00:32:52 +0800 2023,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂
7,piKriK-8-2,4930086556140369,Wed Aug 02 00:34:54 +0800 2023,宝宝要开心额
8,煎葵果子,4930086669390008,Wed Aug 02 00:35:21 +0800 2023,生日快乐🎂坤！一定要快乐！一起的第6个生日啦!今年赴约看了你的演唱会，很喜欢 爱你！！要多多唱歌给我们听哦～会越来越好的🥳你远比自己想象的更好更强大@蔡徐坤 ​​​
9,吧唧802口蔡徐坤,4930086597296961,Wed Aug 02 00:35:03 +0800 2023,陪你的第六年，生日快乐🎂我们一直在一直爱你！❤️@蔡徐坤
10,困困天使·,4930086513677036,Wed Aug 02 00:34:44 +0800 2023,@蔡徐坤  FOREVER[抱一抱]
11,西红柿先生是一个谜,4930086509743747,Wed Aug 02 00:34:43 +0800 2023,“花在骄阳下盛开 我的爱永远为你而敞开。”生日快乐🎂[哇]
12,西红柿先生是一个谜,4930086488248481,Wed Aug 02 00:34:38 +0800 2023,你在的地方就是我奔赴的远方，期待下次相聚❤️生日快乐🎂[哇]
13,妮妮薇niniwei123456,4930086492705228,Wed Aug 02 00:34:39 +0800 2023,身体健康，万事如意，心想事成，一切顺利
14,蔡徐坤耶不是傻子,4930087214386029,Wed Aug 02 00:37:31 +0800 2023,宝贝，希望八月浪漫一点，是三岁小朋友的生日，要开心，要平安健康，要好好吃饭，未曾谋面的日子也要好好生活，我们都是。 等待，等待下次见面，可不可以快一点啊 你永远都是我的上上签@蔡徐坤
15,-郜郜i幼恩呐,4930086023725303,Wed Aug 02 00:32:46 +0800 2023,恭喜你！开启long game新副本，接下来的路，我们一起打怪升级！@蔡徐坤 25岁生日快乐！！！
16,_怡困噜-,4930087130760254,Wed Aug 02 00:37:11 +0800 2023,要天天开心哟@蔡徐坤
17,KK可樂記事鋪,4930087021708151,Wed Aug 02 00:36:45 +0800 2023,祝大哥@蔡徐坤 生日快乐🎂
18,西红柿先生是一个谜,4930086471467028,Wed Aug 02 00:34:33 +0800 2023,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂[哇]
19,猫价临奏,4930086438443397,Wed Aug 02 00:34:26 +0800 2023,平安喜乐 万事顺遂[心]@蔡徐坤
20,望鲸落·,4930085972611434,Wed Aug 02 00:32:35 +0800 2023,我们互相陪伴，爱能赢万难。KUN&IKUN is forever 坤25岁生日快乐🎂
21,苏黎世的从前d_d,4930087335499640,Wed Aug 02 00:38:00 +0800 2023,生日快乐[苦涩][苦涩][苦涩]
22,沃尔玛超市袋,4930087256590929,Wed Aug 02 00:37:41 +0800 2023,㊗大哥生日快乐🎂
23,被时间偷走的梦,4930087260522792,Wed Aug 02 00:37:42 +0800 2023,生日快乐[送花花][送花花]
24,夫宝女驾到,4930087084361223,Wed Aug 02 00:37:00 +0800 2023,没见面的日子每天都要开心@蔡徐坤
25,蓝玫瑰的吻,4930087051592595,Wed Aug 02 00:36:52 +0800 2023,记得吃蛋糕哦@蔡徐坤
26,你看见坤坤了吗,4930086689836671,Wed Aug 02 00:35:26 +0800 2023,生日快乐
27,岵山尋蔡,4930087461852115,Wed Aug 02 00:38:30 +0800 2023,旦逢良辰，顺颂时宜。25岁的蔡徐坤你好，新一岁的剧本就从读完我的评论开始吧！即使万人仰慕，我对你一见如故，愿你在迷茫中寻找自我，期待更多的舞台。𝙼𝚊𝚢 𝚢𝚘𝚞𝚛 𝚋𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𝚋𝚎 𝚏𝚞𝚕𝚕 𝚘𝚏 𝚕𝚊𝚞𝚐𝚑𝚝𝚎𝚛!
28,行將就鍷了,4930087479415387,Wed Aug 02 00:38:34 +0800 2023,生日快乐!(^O^)y生日快乐@蔡徐坤 ㊗️我们的坤坤25岁生！日！快！了！！！
29,August-困困酱牌,4930087432489862,Wed Aug 02 00:38:23 +0800 2023,生日快乐！KUN&IKUN[心]
30,冬日唱片-标签版,4930087382682661,Wed Aug 02 00:38:11 +0800 2023,生日快乐 @蔡徐坤
31,K·小猫咪_yan,4930088079199810,Wed Aug 02 00:40:57 +0800 2023,25岁生日，愿你开开心心💕㊗️坤生日快乐🎂✨我们爱你呀😘☝🏼️
32,-困困菜姚,4930087349389415,Wed Aug 02 00:38:03 +0800 2023,你qz我真的[泪]哭死啊啊啊啊
33,爱让人愚蠢,4930087374558272,Wed Aug 02 00:38:09 +0800 2023,生日快乐宝贝！@蔡徐坤
34,奶味酱油小抄手,4930087315835640,Wed Aug 02 00:37:55 +0800 2023,生日快乐好好生活一切顺利[心]@蔡徐坤
35,小困贩卖铺,4930087310595267,Wed Aug 02 00:37:54 +0800 2023,我的愿望是你的愿望都会实现[抱一抱]生日快乐
36,Clee_GC,4930086345640425,Wed Aug 02 00:34:04 +0800 2023,"没想到这是陪你过的第四个生日啦。每年的这个时候都在一边看大家的回顾和祝福，一边期待你会不会上线冒个泡。不知道此时此刻你在哪里，但希望你是开心的。也祝贺你和我成为同龄人！25岁也许会辛苦，但希望你我都能比过去更加勇敢。虽然孤独是人生的常态，但——If you need me, I’ll be your side."
37,HHAIKUN,4930086166073777,Wed Aug 02 00:33:21 +0800 2023,@蔡徐坤  希望25岁的你能做你想做的 一定有人会支持你和爱你 祝生日快乐 平平安安
38,-郜郜i幼恩呐,4930089076132662,Wed Aug 02 00:44:55 +0800 2023,25岁生日快乐 继续闪耀 做舞台上闪闪发光的你 我爱你@蔡徐坤
39,小葵特别香kun,4930089613788365,Wed Aug 02 00:47:03 +0800 2023,生日快乐 天天开心[蛋糕]
40,sing小葵_KUN,4930088070547595,Wed Aug 02 00:40:55 +0800 2023,生日快乐🎂
41,不愿透露姓名的歌迷,4930089546679761,Wed Aug 02 00:46:47 +0800 2023,@蔡徐坤
42,不靠谱小葵,4930089474593957,Wed Aug 02 00:46:30 +0800 2023,生日快乐！生日快乐！生日快乐！
43,怡个大头葵_,4930088753169001,Wed Aug 02 00:43:37 +0800 2023,生日快乐！一定要天天开心呀 小坤！！！
